band,site,nest.id,utm.easting,utm.northing,elevation,tree.species,height,orientation,canopy.cover,immediate.habitat,shavings,year.placed,species,clutch.initiation,hatch.date,day12,clutch.size,nestlings,fledged,male.id,female.id
2090-37441,1,334-2019,475275,4431964,1675,apple,126,E,30,knick-knick,Y,2019,MOCH,121,143,NA,8,0,0,unB,AYO
287-2019-1,1,287-2019,477942,4425525,1686,ash,122,SE,40,short grass,Y,2019,BCCH,135,154,165,6,5,5,RBB,OPY
2830-31970,3,203-2019,460402,4428235,2488,fir,132,SE,30,bare ground,N,2019,MOCH,138,161,170,6,6,NA,SSP,unb
2090-37460,1,336-2019,469703,4429660,1951,ponderosa,137,SE,30,short grass,Y,2019,BCCH,NA,161,173,5,4,4,unb,AAW
336-2019-1,1,336-2019,469703,4429660,1951,ponderosa,137,SE,30,short grass,Y,2019,BCCH,NA,161,173,5,4,4,unb,AAW
2090-37483,3,207-2019,459382,4428061,2519,ponderosa,117,SE,20,.25m evergreen shrub,N,2019,BCCH,153,171,180,5,3,,LPY,unb
2090-37472,3,158-2019,459694,4428501,2550,ponderosa,126,SE,30,bare ground,N,2019,MOCH,142,170,179,8,6,NA,OBS,unb
49-2019-1,4,49-2019,453879,4431761,3007,englemann spruce,108,SW,50,saplings,N,2018,MOCH,169,188,197,5,4,2,unb,unb
2830-31985,3,218-2019,459421,4428094,2518,ponderosa,128,SE,20,1m grass,N,2019,MOCH,NA,191,200,5,2,NA,unb,unb
24-2019-1,4,24-2019,451435,4432588,3254,spruce,144,SW,80,Spruce & fallen spruce,N,2018,MOCH,169,192,201,7,3,NA,unb,unb
